Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-01,2016-02-01,2016-03-01,1064.1207842758613,37130.36652573763,34.893,2
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-02,2016-02-02,2016-03-02,1064.5780534224107,38337.584859847855,36.012,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-03,2016-02-03,2016-03-03,1064.3780724664202,38843.41337658954,36.494,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-04,2016-02-04,2016-03-04,1066.308333838237,39212.422668567335,36.774,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-05,2016-02-05,2016-03-05,1067.3419433213335,39250.43262369872,36.774,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-06,2016-02-06,2016-03-06,1067.5494919367925,39258.06501648361,36.774,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-07,2016-02-07,2016-03-07,1067.8063740856944,39267.511600627324,36.774,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-08,2016-02-08,2016-03-08,1065.00906940338,38811.06050719797,36.442,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-09,2016-02-09,2016-03-09,1063.5407298346681,39092.56660653289,36.757,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-10,2016-02-10,2016-03-10,1060.1350105298884,38679.02585918298,36.485,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-11,2016-02-11,2016-03-11,1058.1447628521416,38725.98203086268,36.598,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-12,2016-02-12,2016-03-12,1056.1972527036457,38654.70705444802,36.598,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-13,2016-02-13,2016-03-13,1056.2064148916413,38655.04237220429,36.598,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-14,2016-02-14,2016-03-14,1054.0617936113579,38880.12331914855,36.886,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-15,2016-02-15,2016-03-15,1054.0940919588768,38725.308750385215,36.738,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-16,2016-02-16,2016-03-16,1054.198509839445,38829.293712916275,36.833,4
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-17,2016-02-17,2016-03-17,1054.6191886936595,39050.43931894882,37.028,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-18,2016-02-18,2016-03-18,1057.3929688370918,39664.925047016986,37.512,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-19,2016-02-19,2016-03-19,1057.5955240273918,39672.52329731552,37.512,5
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-20,2016-02-20,2016-03-20,1060.5533258080065,39783.476357709944,37.512,6
HDFC Hybrid Equity Fund - Direct - Growth,36000.0,2013-03-21,2016-02-21,2016-03-21,1061.9371716563069,40580.86707767411,38.214,7
