Security_name,Flow,Cash_flow_start_date,Cash_flow_end_date,Cash_flow_value_date,Unit,Value,Valuation_price,Indicative_xirr
SBI Equity Hybrid Fund,60000.0,2013-04-01,2018-03-01,2018-04-01,692.4869623206262,89213.09535576627,128.83,14
SBI Equity Hybrid Fund,60000.0,2013-04-02,2018-03-02,2018-04-02,692.1678762403989,89916.20639658427,129.9052,14
SBI Equity Hybrid Fund,60000.0,2013-04-03,2018-03-03,2018-04-03,692.4311839178139,90338.51911166633,130.4657,14
SBI Equity Hybrid Fund,60000.0,2013-04-04,2018-03-04,2018-04-04,692.6387599018663,89998.98696211285,129.9364,14
SBI Equity Hybrid Fund,60000.0,2013-04-05,2018-03-05,2018-04-05,692.6955373726103,91182.28436650617,131.634,15
SBI Equity Hybrid Fund,60000.0,2013-04-06,2018-03-06,2018-04-06,692.2017131644379,91139.01544448099,131.6654,15
SBI Equity Hybrid Fund,60000.0,2013-04-07,2018-03-07,2018-04-07,691.3392141854623,91025.45417141457,131.6654,15
SBI Equity Hybrid Fund,60000.0,2013-04-08,2018-03-08,2018-04-08,690.6643086186438,90936.59245999718,131.6654,15
SBI Equity Hybrid Fund,60000.0,2013-04-09,2018-03-09,2018-04-09,689.5809385918349,91231.6271337936,132.3001,15
SBI Equity Hybrid Fund,60000.0,2013-04-10,2018-03-10,2018-04-10,689.0484488037587,91083.0405874878,132.1867,15
SBI Equity Hybrid Fund,60000.0,2013-04-11,2018-03-11,2018-04-11,688.5511069114347,90994.85183788443,132.1541,15
SBI Equity Hybrid Fund,60000.0,2013-04-12,2018-03-12,2018-04-12,687.8563395598202,91162.08218130066,132.5307,15
SBI Equity Hybrid Fund,60000.0,2013-04-13,2018-03-13,2018-04-13,687.7589608444043,91103.92197235793,132.4649,15
SBI Equity Hybrid Fund,60000.0,2013-04-14,2018-03-14,2018-04-14,687.6837303284636,91093.95656958691,132.4649,15
SBI Equity Hybrid Fund,60000.0,2013-04-15,2018-03-15,2018-04-15,687.2216881293301,91032.7521958829,132.4649,15
SBI Equity Hybrid Fund,60000.0,2013-04-16,2018-03-16,2018-04-16,686.5273837328717,91179.2121938069,132.8122,15
SBI Equity Hybrid Fund,60000.0,2013-04-17,2018-03-17,2018-04-17,686.6393957491945,91314.456642196,132.9875,15
SBI Equity Hybrid Fund,60000.0,2013-04-18,2018-03-18,2018-04-18,686.3838785394291,91125.55920587598,132.7618,15
SBI Equity Hybrid Fund,60000.0,2013-04-19,2018-03-19,2018-04-19,686.380679278345,91532.91322777505,133.3559,15
SBI Equity Hybrid Fund,60000.0,2013-04-20,2018-03-20,2018-04-20,686.2397079935204,91904.85876494461,133.9253,15
SBI Equity Hybrid Fund,60000.0,2013-04-21,2018-03-21,2018-04-21,685.8979587518669,91859.08989523139,133.9253,15
SBI Equity Hybrid Fund,60000.0,2013-04-22,2018-03-22,2018-04-22,685.3548755467579,91786.3573140622,133.9253,15
SBI Equity Hybrid Fund,60000.0,2013-04-23,2018-03-23,2018-04-23,684.9656153073091,91859.64272387873,134.1084,15
SBI Equity Hybrid Fund,60000.0,2013-04-24,2018-03-24,2018-04-24,684.49694777781,91741.55156767998,134.0277,15
SBI Equity Hybrid Fund,60000.0,2013-04-25,2018-03-25,2018-04-25,684.4821894216285,91373.85470533723,133.4934,15
SBI Equity Hybrid Fund,60000.0,2013-04-26,2018-03-26,2018-04-26,684.1833056719402,91467.09776867033,133.688,15
SBI Equity Hybrid Fund,60000.0,2013-04-27,2018-03-27,2018-04-27,683.6392909140466,91525.01299221073,133.8791,15
SBI Equity Hybrid Fund,60000.0,2013-04-28,2018-03-28,2018-04-28,682.491351449203,91371.32788980298,133.8791,15
SBI Equity Hybrid Fund,60000.0,2013-04-29,2018-03-29,2018-04-29,681.883787510143,91289.98777644917,133.8791,15
SBI Equity Hybrid Fund,60000.0,2013-04-30,2018-03-30,2018-04-30,681.9562232324841,91714.86035446801,134.4879,15
SBI Equity Hybrid Fund,60000.0,2013-05-01,2018-04-01,2018-05-01,681.9727165403289,91717.07850480409,134.4879,15
SBI Equity Hybrid Fund,60000.0,2013-05-02,2018-04-02,2018-05-02,681.9291811816748,91543.33256143605,134.2417,15
SBI Equity Hybrid Fund,60000.0,2013-05-03,2018-04-03,2018-05-03,682.080118245922,90886.15263609175,133.2485,15
SBI Equity Hybrid Fund,60000.0,2013-05-04,2018-04-04,2018-05-04,682.0723034743452,90659.27718982092,132.9174,15
SBI Equity Hybrid Fund,60000.0,2013-05-05,2018-04-05,2018-05-05,682.0781663991862,90660.05647454718,132.9174,15
SBI Equity Hybrid Fund,60000.0,2013-05-06,2018-04-06,2018-05-06,681.5843421910138,90594.41864473984,132.9174,15
