Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,51948.00,-,25-Sep-22,18:45
GOLD,10 GRMS,AHMEDABAD,52010.00,+,05-Aug-22,13:23
GOLD,10 GRMS,AHMEDABAD,51834.00,+,04-Aug-22,17:31
GOLD,10 GRMS,AHMEDABAD,51666.00,+,04-Aug-22,12:51
GOLD,10 GRMS,AHMEDABAD,51329.00,+,03-Aug-22,16:57
GOLD,10 GRMS,AHMEDABAD,51320.00,-,03-Aug-22,12:54
GOLD,10 GRMS,AHMEDABAD,51341.00,+,02-Aug-22,17:01
GOLD,10 GRMS,AHMEDABAD,51310.00,-,02-Aug-22,12:59
GOLD,10 GRMS,AHMEDABAD,51520.00,+,01-Aug-22,17:17
GOLD,10 GRMS,AHMEDABAD,51350.00,+,01-Aug-22,13:12
GOLD,10 GRMS,AHMEDABAD,51301.00,-,29-Jul-22,18:31
GOLD,10 GRMS,AHMEDABAD,51428.00,+,29-Jul-22,13:44
GOLD,10 GRMS,AHMEDABAD,51016.00,+,28-Jul-22,17:29
GOLD,10 GRMS,AHMEDABAD,51009.00,+,28-Jul-22,13:08
GOLD,10 GRMS,AHMEDABAD,50659.00,+,27-Jul-22,17:51
GOLD,10 GRMS,AHMEDABAD,50606.00,+,27-Jul-22,13:02
GOLD,10 GRMS,AHMEDABAD,50580.00,-,26-Jul-22,17:34
GOLD,10 GRMS,AHMEDABAD,50700.00,-,26-Jul-22,13:40
GOLD,10 GRMS,AHMEDABAD,50743.00,+,25-Jul-22,17:15
GOLD,10 GRMS,AHMEDABAD,50655.00,+,25-Jul-22,13:01
GOLD,10 GRMS,AHMEDABAD,50605.00,+,22-Jul-22,16:50
GOLD,10 GRMS,AHMEDABAD,50551.00,+,22-Jul-22,12:55
GOLD,10 GRMS,AHMEDABAD,49811.00,-,21-Jul-22,17:03
GOLD,10 GRMS,AHMEDABAD,49973.00,-,21-Jul-22,13:07
GOLD,10 GRMS,AHMEDABAD,50439.00,+,20-Jul-22,16:52
GOLD,10 GRMS,AHMEDABAD,50294.00,-,20-Jul-22,13:07
GOLD,10 GRMS,AHMEDABAD,50460.00,+,19-Jul-22,16:48
GOLD,10 GRMS,AHMEDABAD,50314.00,-,19-Jul-22,13:00
GOLD,10 GRMS,AHMEDABAD,50524.00,+,18-Jul-22,17:07
GOLD,10 GRMS,AHMEDABAD,50385.00,+,18-Jul-22,13:18
GOLD,10 GRMS,AHMEDABAD,50103.00,-,15-Jul-22,17:09
GOLD,10 GRMS,AHMEDABAD,50107.00,-,15-Jul-22,13:17
GOLD,10 GRMS,AHMEDABAD,50357.00,-,14-Jul-22,17:18
GOLD,10 GRMS,AHMEDABAD,50564.00,=,14-Jul-22,13:12
GOLD,10 GRMS,AHMEDABAD,50562.00,+,13-Jul-22,17:21
GOLD,10 GRMS,AHMEDABAD,50499.00,-,13-Jul-22,13:17
GOLD,10 GRMS,AHMEDABAD,50603.00,-,12-Jul-22,17:32
GOLD,10 GRMS,AHMEDABAD,50683.00,+,12-Jul-22,13:14
GOLD,10 GRMS,AHMEDABAD,50665.00,-,11-Jul-22,17:39
GOLD,10 GRMS,AHMEDABAD,50741.00,+,11-Jul-22,13:39
GOLD,10 GRMS,AHMEDABAD,50657.00,-,08-Jul-22,18:43
GOLD,10 GRMS,AHMEDABAD,50696.00,+,08-Jul-22,13:56
GOLD,10 GRMS,AHMEDABAD,50629.00,-,07-Jul-22,17:34
GOLD,10 GRMS,AHMEDABAD,50666.00,-,07-Jul-22,13:33
GOLD,10 GRMS,AHMEDABAD,51269.00,-,06-Jul-22,18:02
GOLD,10 GRMS,AHMEDABAD,51415.00,-,06-Jul-22,13:26
GOLD,10 GRMS,AHMEDABAD,52164.00,-,05-Jul-22,17:31
GOLD,10 GRMS,AHMEDABAD,52213.00,+,05-Jul-22,13:33
GOLD,10 GRMS,AHMEDABAD,51967.00,-,04-Jul-22,17:50
GOLD,10 GRMS,AHMEDABAD,52081.00,+,04-Jul-22,13:35
GOLD,10 GRMS,AHMEDABAD,50699.00,=,01-Jul-22,14:12
GOLD,10 GRMS,AHMEDABAD,50699.00,-,30-Jun-22,18:22
GOLD,10 GRMS,AHMEDABAD,50761.00,-,30-Jun-22,13:40
GOLD,10 GRMS,AHMEDABAD,50933.00,+,29-Jun-22,17:56
GOLD,10 GRMS,AHMEDABAD,50798.00,-,29-Jun-22,13:24
GOLD,10 GRMS,AHMEDABAD,50895.00,-,28-Jun-22,18:00
GOLD,10 GRMS,AHMEDABAD,50919.00,-,28-Jun-22,13:06
GOLD,10 GRMS,AHMEDABAD,50944.00,+,27-Jun-22,16:56
GOLD,10 GRMS,AHMEDABAD,50851.00,+,27-Jun-22,13:29
GOLD,10 GRMS,AHMEDABAD,50675.00,+,24-Jun-22,17:34
GOLD,10 GRMS,AHMEDABAD,50567.00,-,24-Jun-22,13:43
GOLD,10 GRMS,AHMEDABAD,50731.00,-,23-Jun-22,17:13
GOLD,10 GRMS,AHMEDABAD,50779.00,+,23-Jun-22,13:05
GOLD,10 GRMS,AHMEDABAD,50687.00,+,22-Jun-22,17:10
GOLD,10 GRMS,AHMEDABAD,50560.00,-,22-Jun-22,12:52
GOLD,10 GRMS,AHMEDABAD,50737.00,+,21-Jun-22,17:08
GOLD,10 GRMS,AHMEDABAD,50718.00,-,21-Jun-22,13:15
GOLD,10 GRMS,AHMEDABAD,50810.00,-,20-Jun-22,17:47
GOLD,10 GRMS,AHMEDABAD,50873.00,-,20-Jun-22,14:08
GOLD,10 GRMS,AHMEDABAD,50989.00,+,17-Jun-22,17:54
GOLD,10 GRMS,AHMEDABAD,50966.00,+,17-Jun-22,14:10
GOLD,10 GRMS,AHMEDABAD,50447.00,-,16-Jun-22,17:26
GOLD,10 GRMS,AHMEDABAD,50637.00,+,16-Jun-22,13:18
GOLD,10 GRMS,AHMEDABAD,50587.00,+,15-Jun-22,17:30
GOLD,10 GRMS,AHMEDABAD,50467.00,+,15-Jun-22,13:39
GOLD,10 GRMS,AHMEDABAD,50410.00,-,14-Jun-22,17:07
GOLD,10 GRMS,AHMEDABAD,50576.00,-,14-Jun-22,13:24
GOLD,10 GRMS,AHMEDABAD,51251.00,-,13-Jun-22,17:30
GOLD,10 GRMS,AHMEDABAD,51444.00,+,13-Jun-22,13:07
GOLD,10 GRMS,AHMEDABAD,50779.00,-,10-Jun-22,16:53
GOLD,10 GRMS,AHMEDABAD,50807.00,-,10-Jun-22,13:13
GOLD,10 GRMS,AHMEDABAD,50887.00,-,09-Jun-22,16:30
GOLD,10 GRMS,AHMEDABAD,50919.00,+,09-Jun-22,12:52
GOLD,10 GRMS,AHMEDABAD,50868.00,+,08-Jun-22,16:31
GOLD,10 GRMS,AHMEDABAD,50823.00,-,08-Jun-22,12:52
GOLD,10 GRMS,AHMEDABAD,50857.00,+,07-Jun-22,16:30
GOLD,10 GRMS,AHMEDABAD,50679.00,-,07-Jun-22,12:56
GOLD,10 GRMS,AHMEDABAD,50955.00,-,06-Jun-22,17:00
GOLD,10 GRMS,AHMEDABAD,50963.00,-,06-Jun-22,12:48
GOLD,10 GRMS,AHMEDABAD,51243.00,-,03-Jun-22,17:16
GOLD,10 GRMS,AHMEDABAD,51263.00,+,03-Jun-22,13:08
GOLD,10 GRMS,AHMEDABAD,50988.00,+,02-Jun-22,17:09
GOLD,10 GRMS,AHMEDABAD,50900.00,+,02-Jun-22,12:59
GOLD,10 GRMS,AHMEDABAD,50423.00,-,01-Jun-22,16:58
GOLD,10 GRMS,AHMEDABAD,50477.00,-,01-Jun-22,12:46
GOLD,10 GRMS,AHMEDABAD,50861.00,-,31-May-22,18:03
GOLD,10 GRMS,AHMEDABAD,50986.00,-,31-May-22,13:03
GOLD,10 GRMS,AHMEDABAD,50990.00,-,30-May-22,17:10
GOLD,10 GRMS,AHMEDABAD,51073.00,+,30-May-22,13:11
GOLD,10 GRMS,AHMEDABAD,51017.00,+,27-May-22,16:32
GOLD,10 GRMS,AHMEDABAD,50998.00,+,27-May-22,13:09
GOLD,10 GRMS,AHMEDABAD,50754.00,-,26-May-22,17:25
GOLD,10 GRMS,AHMEDABAD,50787.00,-,26-May-22,13:02
GOLD,10 GRMS,AHMEDABAD,50986.00,-,25-May-22,17:03
GOLD,10 GRMS,AHMEDABAD,51028.00,-,25-May-22,13:34
GOLD,10 GRMS,AHMEDABAD,51054.00,+,24-May-22,16:55
GOLD,10 GRMS,AHMEDABAD,51004.00,-,24-May-22,13:11
GOLD,10 GRMS,AHMEDABAD,51156.00,+,23-May-22,16:57
GOLD,10 GRMS,AHMEDABAD,51002.00,+,23-May-22,12:53
GOLD,10 GRMS,AHMEDABAD,50785.00,-,20-May-22,16:48
GOLD,10 GRMS,AHMEDABAD,50846.00,+,20-May-22,13:56
GOLD,10 GRMS,AHMEDABAD,50487.00,+,19-May-22,16:36
GOLD,10 GRMS,AHMEDABAD,50157.00,-,19-May-22,13:31
GOLD,10 GRMS,AHMEDABAD,50248.00,+,18-May-22,16:46
GOLD,10 GRMS,AHMEDABAD,50069.00,-,18-May-22,13:27
GOLD,10 GRMS,AHMEDABAD,50460.00,-,17-May-22,16:38
GOLD,10 GRMS,AHMEDABAD,50511.00,+,17-May-22,12:50
GOLD,10 GRMS,AHMEDABAD,50071.00,-,16-May-22,17:06
GOLD,10 GRMS,AHMEDABAD,50153.00,-,16-May-22,13:02
GOLD,10 GRMS,AHMEDABAD,50275.00,-,13-May-22,17:25
GOLD,10 GRMS,AHMEDABAD,50349.00,-,13-May-22,13:29
GOLD,10 GRMS,AHMEDABAD,50968.00,-,12-May-22,16:32
GOLD,10 GRMS,AHMEDABAD,51120.00,+,12-May-22,12:41
GOLD,10 GRMS,AHMEDABAD,50968.00,+,11-May-22,16:31
GOLD,10 GRMS,AHMEDABAD,50821.00,-,11-May-22,13:16
GOLD,10 GRMS,AHMEDABAD,51128.00,-,10-May-22,16:35
GOLD,10 GRMS,AHMEDABAD,51229.00,-,10-May-22,13:16
GOLD,10 GRMS,AHMEDABAD,51271.00,-,09-May-22,16:33
GOLD,10 GRMS,AHMEDABAD,51484.00,+,09-May-22,13:12
GOLD,10 GRMS,AHMEDABAD,51458.00,+,06-May-22,16:51
GOLD,10 GRMS,AHMEDABAD,51260.00,-,06-May-22,12:45
GOLD,10 GRMS,AHMEDABAD,51445.00,+,05-May-22,17:12
GOLD,10 GRMS,AHMEDABAD,51378.00,+,05-May-22,13:10
GOLD,10 GRMS,AHMEDABAD,50900.00,+,04-May-22,16:47
GOLD,10 GRMS,AHMEDABAD,50797.00,-,04-May-22,13:01
GOLD,10 GRMS,AHMEDABAD,51119.00,=,03-May-22,17:14
GOLD,10 GRMS,AHMEDABAD,51119.00,-,02-May-22,16:34
GOLD,10 GRMS,AHMEDABAD,51249.00,-,02-May-22,13:14
GOLD,10 GRMS,AHMEDABAD,51847.00,+,29-Apr-22,17:50
GOLD,10 GRMS,AHMEDABAD,51773.00,+,29-Apr-22,13:18
GOLD,10 GRMS,AHMEDABAD,51276.00,+,28-Apr-22,16:48
GOLD,10 GRMS,AHMEDABAD,51050.00,-,28-Apr-22,12:47
GOLD,10 GRMS,AHMEDABAD,51463.00,-,27-Apr-22,16:37
GOLD,10 GRMS,AHMEDABAD,51591.00,-,27-Apr-22,13:25
GOLD,10 GRMS,AHMEDABAD,51673.00,+,26-Apr-22,16:35
GOLD,10 GRMS,AHMEDABAD,51664.00,-,26-Apr-22,13:40
GOLD,10 GRMS,AHMEDABAD,51976.00,-,25-Apr-22,16:46
GOLD,10 GRMS,AHMEDABAD,52023.00,-,25-Apr-22,12:59
GOLD,10 GRMS,AHMEDABAD,52234.00,-,22-Apr-22,16:59
GOLD,10 GRMS,AHMEDABAD,52619.00,+,22-Apr-22,13:15
GOLD,10 GRMS,AHMEDABAD,52310.00,-,21-Apr-22,17:00
